(113, '16EB20A1-FE30-46EF-A987-FF824B5FC32A', 'По среднему', 'ФЛ', Decimal('1.929'), '09-2022')
(114, '97BFB483-138F-4CD0-8E55-DE93037A2112', 'По норме', 'ФЛ', Decimal('3.540'), '09-2022')
(115, 'ED988ED6-7E15-4C17-BE4D-4F1190554A15', 'Нормативные потери', 'ЮР', Decimal('2.616'), '09-2022')
(115, 'ED988ED6-7E15-4C17-BE4D-4F1190554A15', 'по водомеру', 'ЮР', Decimal('86.000'), '09-2022')
(116, 'D37DC2CA-C425-4684-9C10-DF9239AB2E33', 'По норме', 'ФЛ', Decimal('1.770'), '09-2022')
(117, '796F216C-BD02-4F13-8D39-D7793A48BF02', 'По среднему', 'ФЛ', Decimal('1.563'), '09-2022')
(118, 'B64A745C-884B-4D74-9B33-9FB205E87505', 'По норме', 'ФЛ', Decimal('1.770'), '09-2022')
(118, 'B64A745C-884B-4D74-9B33-9FB205E87505', 'По прибору', 'ФЛ', Decimal('7.000'), '09-2022')
(120, '75CE90DA-ED2C-4198-96EA-BB393500CD17', 'По норме - нет показ', 'ФЛ', Decimal('1.882'), '09-2022')
(120, '75CE90DA-ED2C-4198-96EA-BB393500CD17', 'По прибору', 'ФЛ', Decimal('64.000'), '09-2022')
(120, '75CE90DA-ED2C-4198-96EA-BB393500CD17', 'По среднему', 'ФЛ', Decimal('0.482'), '09-2022')
(124, '36BBC7DD-2970-489C-A282-8831F64187E1', 'По норме', 'ФЛ', Decimal('1.770'), '09-2022')
(125, '5547EF02-3F19-4961-9F52-E3F4FD2BF8D2', 'По норме', 'ФЛ', Decimal('3.000'), '09-2022')
(127, '0D29ECB9-88B2-4CC7-AEAF-0F791B3A216D', 'По норме', 'ФЛ', Decimal('10.800'), '09-2022')
(129, '146512FC-71ED-441D-931F-A23CA8FB8CB1', 'По норме', 'ФЛ', Decimal('3.000'), '09-2022')
(130, 'CFC21AFD-6627-4CFC-ADEC-A487097F1B63', 'По норме', 'ФЛ', Decimal('3.640'), '09-2022')
(131, '60F40321-3C8F-4A9C-BFA5-2F589D91711B', 'По прибору', 'ФЛ', Decimal('2.000'), '09-2022')
(132, 'C6D797BB-CAF3-46B1-B587-DC24C5E6F7C8', 'По норме', 'ФЛ', Decimal('15.000'), '09-2022')
(133, '5292C873-500F-4FA3-9224-3B60F30C35AD', 'По среднему', 'ФЛ', Decimal('1.427'), '09-2022')
(135, 'E65F812B-D4EE-47C3-B273-36D702FE2123', 'По прибору', 'ФЛ', Decimal('8.000'), '09-2022')
(136, 'B2B62997-C48F-4E0A-B8C7-F0ADBBBD10A0', 'По прибору', 'ФЛ', Decimal('5.000'), '09-2022')
(137, 'D91124F9-72D3-40B6-AA62-BD0C7C774ADF', 'По норме', 'ФЛ', Decimal('3.540'), '09-2022')
(138, '008A07EF-7BF4-4479-BAE7-27D056A84A27', 'По норме', 'ФЛ', Decimal('1.770'), '09-2022')
(139, '05D47C0D-A117-449E-A4DE-686DD4AEFCA7', 'по водомеру', 'ЮР', Decimal('14.000'), '09-2022')
(140, 'FE8CB004-34CD-4C07-8733-D64731125D96', 'По норме', 'ФЛ', Decimal('2.730'), '09-2022')
(141, 'D8B24E84-DC42-43FC-A127-C9014703CF47', 'По норме', 'ФЛ', Decimal('2.700'), '09-2022')
(142, 'C195C5AD-8B74-44AC-B8EA-66BA527A1B37', 'По норме', 'ФЛ', Decimal('2.070'), '09-2022')
(143, '760D4AA3-EA4E-4DED-A578-DD13DE691C01', 'По прибору', 'ФЛ', Decimal('11.000'), '09-2022')
(143, '760D4AA3-EA4E-4DED-A578-DD13DE691C01', 'По среднему', 'ФЛ', Decimal('-5.242'), '09-2022')
(144, '8C4D50AF-71B3-4CE4-824D-AB008184936B', 'По норме', 'ФЛ', Decimal('3.540'), '09-2022')
(145, 'BEDAB6FE-2EE0-4080-A5A4-CB28EE0C11F8', 'По норме', 'ФЛ', Decimal('0.910'), '09-2022')
(147, 'D95F9A04-4B19-481A-809E-B479D310A875', 'по водомеру', 'ЮР', Decimal('24.000'), '09-2022')
(151, '4914DBC1-D56F-40DF-92D3-4ADCAA83AA8E', 'По норме', 'ФЛ', Decimal('26.697'), '09-2022')
(151, '4914DBC1-D56F-40DF-92D3-4ADCAA83AA8E', 'По прибору', 'ФЛ', Decimal('51.000'), '09-2022')
(151, '4914DBC1-D56F-40DF-92D3-4ADCAA83AA8E', 'По среднему', 'ФЛ', Decimal('-9.036'), '09-2022')
(152, 'E971950B-2D0C-44FF-85A1-95F6B015766C', 'По норме', 'ФЛ', Decimal('1.720'), '09-2022')
(152, 'E971950B-2D0C-44FF-85A1-95F6B015766C', 'По прибору', 'ФЛ', Decimal('18.000'), '09-2022')
(154, 'BB5D23EB-ED9A-4274-A8D6-E8DF8B3400EE', 'По норме', 'ФЛ', Decimal('27.890'), '09-2022')
(154, 'BB5D23EB-ED9A-4274-A8D6-E8DF8B3400EE', 'По норме-несв. показ', 'ФЛ', Decimal('2.230'), '09-2022')
(154, 'BB5D23EB-ED9A-4274-A8D6-E8DF8B3400EE', 'По прибору', 'ФЛ', Decimal('11.000'), '09-2022')
(154, 'BB5D23EB-ED9A-4274-A8D6-E8DF8B3400EE', 'По среднему', 'ФЛ', Decimal('1.817'), '09-2022')
(155, '8A98C4C8-43E2-4543-AF1B-4C092AABE984', 'По норме', 'ФЛ', Decimal('13.805'), '09-2022')
